08:01:59:  「开始」菜单
11:09:20:  Box_1__0000_20200608110559.log - DRB.tat* - TextAnalysisTool.NET
11:09:25:  TCR调测工具 V3.36
11:09:30:  取款
11:09:35:  Box_1__0000_20200608110559.log - DRB.tat* - TextAnalysisTool.NET
11:09:45:  TCR调测工具 V3.36
11:10:05:  BTCRTestTool
11:14:05:  TCR调测工具 V3.36
11:14:25:  优惠方案
11:14:30:  新北洋团购房政策.pdf
11:14:40:  TCR调测工具 V3.36
11:14:45:  BTCRTestTool
11:14:50:  取款
11:14:55:  钞箱配置
11:14:05:  TCR调测工具 V3.36
11:14:25:  优惠方案
11:14:30:  新北洋团购房政策.pdf
11:14:40:  TCR调测工具 V3.36
11:14:45:  BTCRTestTool
11:14:50:  取款
11:14:55:  钞箱配置
11:15:05:  BTCRTestTool
11:15:10:  TCR调测工具 V3.36
11:16:00:  BTCRTestTool
11:16:05:  TCR调测工具 V3.36
11:17:00:  BTCRTestTool
11:17:05:  TCR调测工具 V3.36
11:17:55:  20200608
11:18:40:  钞箱配置
11:18:45:  TCR调测工具 V3.36
11:19:40:  BTCRTestTool
11:19:45:  取款
11:19:50:  TCR调测工具 V3.36
11:21:00:  BTCRTestTool
11:22:25:  TCR调测工具 V3.36
11:24:25:  20200608
11:25:10:  TCR调测工具 V3.36
11:25:20:  BTCRTestTool
11:25:25:  取款
11:25:30:  TCR调测工具 V3.36
11:26:45:  BTCRTestTool
11:27:35:  TCR调测工具 V3.36
11:28:30:  取款
11:28:40:  TCR调测工具 V3.36
11:29:30:  20200608
11:29:45:  TCR调测工具 V3.36
11:28:30:  取款
11:28:40:  TCR调测工具 V3.36
11:29:30:  20200608
11:29:45:  TCR调测工具 V3.36
11:30:25:  自动播放
11:30:30:  iTunes
11:30:35:  自动播放
11:30:40:  取款
11:30:45:  TCR调测工具 V3.36
11:32:25:  取款
11:32:30:  TCR调测工具 V3.36
11:33:25:  20200608
11:33:45:  TCR调测工具 V3.36
11:34:40:  BTCRTestTool
11:34:45:  取款
11:34:50:  TCR调测工具 V3.36
11:35:45:  BTCRTestTool
11:35:55:  TCR调测工具 V3.36
11:37:05:  取款
11:37:10:  TCR调测工具 V3.36
11:37:40:  桌面整理
11:37:45:  MindMaster Pro
11:37:55:  20200608
11:38:00:  Box_1__0000_20200608110559.log - DRB.tat* - TextAnalysisTool.NET
11:38:20:  TCR调测工具 V3.36
11:40:45:  BTCRTestTool
11:40:50:  TCR调测工具 V3.36
11:41:10:  BTCRTestTool
11:41:20:  TCR调测工具 V3.36
11:41:55:  BTCRTestTool
11:42:00:  TCR调测工具 V3.36
13:01:45:  自动播放
13:08:10:  iTunes
13:12:00:  TCR调测工具 V3.36
13:15:20:  取款
13:15:25:  TCR调测工具 V3.36
13:16:25:  取款
13:18:10:  跳转列表
13:18:20:  TCR调测工具 V3.36
13:18:30:  取款
13:18:55:  TCR调测工具 V3.36
13:21:21:  取款
13:21:31:  TCR调测工具 V3.36
13:22:46:  BTCRTestTool
13:22:56:  TCR调测工具 V3.36
13:23:01:  新建文本文档.exe - 快捷方式
13:23:06:  eSpace
13:23:11:  TCR调测工具 V3.36
13:23:21:  程明昌
13:24:21:  TCR调测工具 V3.36
13:34:36:  锁屏状态
13:34:41:  选择文件夹
13:34:51:  D:\00-KE64\Press\Applications\FlowControl\TrackModule\CashGateModuleApp.c (Press) - Sublime Text (UNREGISTERED)
13:34:56:  untitled (TCR-18) - Sublime Text (UNREGISTERED)
13:35:06:  选择文件夹
13:35:11:  untitled (00-18) - Sublime Text (UNREGISTERED)
13:35:21:  选择文件夹
13:35:31:  untitled (00-18) - Sublime Text (UNREGISTERED)
13:35:36:  D:\00-18\Middlewares\Plate\Plate.c (00-18) - Sublime Text (UNREGISTERED)
13:35:41:  选择文件夹
13:36:26:  D:\00-KE64\Press\Applications\FlowControl\TrackModule\CashGateModuleApp.c (Press) - Sublime Text (UNREGISTERED)
13:36:36:  untitled (00-1) - Sublime Text (UNREGISTERED)
13:36:41:  选择文件夹
13:36:56:  20200608
13:37:01:  00-18
13:37:06:  CRS
13:37:11:  检出
13:37:16:  trunk - 检出 - TortoiseSVN
13:37:26:  检出 完成！
13:37:31:  选择文件夹
13:37:36:  untitled (00-1) - Sublime Text (UNREGISTERED)
13:37:46:  跳转列表
13:37:51:  untitled (CRS) - Sublime Text (UNREGISTERED)
13:38:06:  D:\00-18\CRS\Middlewares\Plate\Plate.c (CRS) - Sublime Text (UNREGISTERED)
13:38:36:  D:\00-18\CRS\Applications\PPCtrl\PPCtrl.c (CRS) - Sublime Text (UNREGISTERED)
13:39:11:  D:\00-18\CRS\Applications\SeparatorCtrl\SeparatorCtrl.c (CRS) - Sublime Text (UNREGISTERED)
13:39:26:  打开
13:39:31:  TCR调测工具 V3.36
13:40:21:  打开
13:40:26:  TCR调测工具 V3.36
13:41:11:  取款
13:41:16:  钞箱配置
13:41:26:  TCR调测工具 V3.36
13:42:11:  BTCRTestTool V3.36
13:42:26:  W
13:42:31:  2020-06-08.txt - 记事本
13:42:41:  2020-06-07.txt - 记事本
13:42:46:  2020-06-06.txt - 记事本
13:42:51:  W
13:42:56:  TCRControlCmdDLL
13:43:01:  20200608
13:43:11:  Decode
13:43:16:  K64_0000_20200608134125
13:43:21:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
13:44:01:  本地磁盘 (D:)
13:44:06:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
13:44:31:  DRB-PRESS
13:44:36:  D:\00-06\DRB-PRESS\Tools\CreateJK.exe
13:44:41:  TCR调测工具 V3.36
