08:00:08:  D:\00-KE64\select - 工作副本 - TortoiseSVN
14:01:23:  Tools
14:02:58:  0-工作 - 张开发 - 印象笔记
14:03:03:  D:\00-06\DRB\Applications\Track\Track.c (DRB) - Sublime Text (UNREGISTERED)
14:03:33:  主页 - Internet Explorer
14:03:38:  新北洋OA信息化平台 - Internet Explorer
14:03:58:  D:\00-06\DRB\Applications\Track\Track.c (DRB) - Sublime Text (UNREGISTERED)
14:08:33:  eSpace
14:08:43:  于斌1
14:08:48:  K64_0000_20210309134513
14:08:53:  eSpace
14:08:58:  于斌1
14:09:08:  K64_0000_20210309134513
14:09:13:  Tools
14:09:18:  DRB
14:09:28:  于斌1
14:09:48:  D:\00-06\DRB - 工作副本 - TortoiseSVN
14:09:58:  SystemConfig.h - TortoiseMerge
14:10:18:  D:\00-06\DRB - 工作副本 - TortoiseSVN
14:10:23:  于斌1
14:10:28:  D:\00-06\DRB - 工作副本 - TortoiseSVN
14:11:08:  D:\00-06\DRB\Applications\Track\Track.c (DRB) - Sublime Text (UNREGISTERED)
14:17:53:  「开始」菜单
14:18:08:  Python 3.7.3 Shell
14:18:13:  「开始」菜单
14:24:53:  eSpace
14:24:58:  王亮杰
14:25:03:  0-工作 - 张开发 - 印象笔记
14:25:08:  荆文波
14:25:13:  D:\00-06\DRB\Applications\Track\Track.c (DRB) - Sublime Text (UNREGISTERED)
14:25:18:  PaperManage.c - trunk - Visual Studio Code [管理员]
14:25:28:  主页 - Internet Explorer
14:25:33:  新北洋OA信息化平台 - Internet Explorer
14:25:48:  7_提交人确认_测试需求通知单II类提交 - Internet Explorer
14:26:18:  新北洋OA信息化平台 - Internet Explorer
14:26:23:  eSpace
14:26:38:  DRB
14:26:43:  D:\00-06\DRB - 日志信息 - TortoiseSVN
14:26:48:  SensorDriver.c Revision 4252 - TortoiseMerge
14:26:58:  D:\00-06\DRB - 日志信息 - TortoiseSVN
14:27:08:  K64_0000_20210309134513
14:27:13:  K64-_0000_20210309134513.log - DRB.tat* - TextAnalysisTool.NET
14:27:23:  Box_4__0000_20210309134513.log - DRB.tat* - TextAnalysisTool.NET
14:27:38:  TheDateInfo.xls  [兼容模式] - Excel
14:30:03:  王亮杰
14:30:03:  王亮杰
14:30:08:  eSpace
14:30:13:  王亮杰
14:30:23:  TheDateInfo.xls  [兼容模式] - Excel
14:30:33:  王亮杰
14:30:38:  5.18 传感器测试v1.1.xlsx - Excel
14:30:48:  锁屏状态
14:30:53:  0-工作 - 张开发 - 印象笔记
14:31:13:  TCR调测工具 V3.36
14:31:33:  0-工作 - 张开发 - 印象笔记
14:31:38:  7_提交人确认_测试需求通知单II类提交 - Internet Explorer
14:32:28:  荆文波
14:32:33:  于斌1
14:32:43:  荆文波
14:34:08:  DRB
14:34:13:  锁屏状态
14:34:23:  7_提交人确认_测试需求通知单II类提交 - Internet Explorer
14:37:48:  给自己的信 - 张开发 - 印象笔记
14:37:58:  7_提交人确认_测试需求通知单II类提交 - Internet Explorer
14:44:43:  于斌1
14:44:48:  7_提交人确认_测试需求通知单II类提交 - Internet Explorer
14:44:53:  eSpace
14:44:58:  于斌1
14:45:03:  eSpace
14:44:43:  于斌1
14:44:48:  7_提交人确认_测试需求通知单II类提交 - Internet Explorer
14:44:53:  eSpace
14:44:58:  于斌1
14:45:03:  eSpace
14:45:08:  7_提交人确认_测试需求通知单II类提交 - Internet Explorer
14:45:48:  于斌1
14:46:08:  7_提交人确认_测试需求通知单II类提交 - Internet Explorer
14:46:13:  于斌1
