10:29:22:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:30:02:  KE06LOG.bat - 快捷方式 (2)
10:30:07:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:30:12:  RTT_SeggerLog_202007271025.log - DRB.tat* - TextAnalysisTool.NET
10:30:22:  RTT_SeggerLog_202007271030.log - DRB.tat* - TextAnalysisTool.NET
10:30:37:  新建 Microsoft Excel 工作表.xlsx - Excel
10:30:52:  RTT_SeggerLog_202007271030.log - DRB.tat* - TextAnalysisTool.NET
10:31:07:  文本分列向导 - 第 1 步，共 3 步
10:31:12:  新建 Microsoft Excel 工作表.xlsx - Excel
10:31:17:  分析镜头
10:31:32:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:32:42:  KE06LOG.bat - 快捷方式 (2)
10:32:47:  RTT_SeggerLog_202007271030.log - DRB.tat* - TextAnalysisTool.NET
10:32:57:  RTT_SeggerLog_202007271032.log - DRB.tat* - TextAnalysisTool.NET
10:33:02:  新建 Microsoft Excel 工作表.xlsx - Excel
10:33:17:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:33:57:  Toolbox
10:34:02:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:34:22:  RTT_SeggerLog_202007271034.log - DRB.tat* - TextAnalysisTool.NET
10:34:27:  新建 Microsoft Excel 工作表.xlsx - Excel
10:34:37:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:34:42:  新建 Microsoft Excel 工作表.xlsx - Excel
10:35:02:  RTT_SeggerLog_202007271034.log - DRB.tat* - TextAnalysisTool.NET
10:35:17:  新建 Microsoft Excel 工作表.xlsx - Excel
10:35:32:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:36:07:  Toolbox
10:36:22:  新建 Microsoft Excel 工作表.xlsx - Excel
10:36:27:  RTT_SeggerLog_202007271034.log - DRB.tat* - TextAnalysisTool.NET
10:36:37:  RTT_SeggerLog_202007271036.log - DRB.tat* - TextAnalysisTool.NET
10:36:52:  新建 Microsoft Excel 工作表.xlsx - Excel
10:37:02:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:38:27:  RTT_SeggerLog_202007271036.log - DRB.tat* - TextAnalysisTool.NET
10:38:42:  RTT_SeggerLog_202007271038.log - DRB.tat* - TextAnalysisTool.NET
10:38:47:  新建 Microsoft Excel 工作表.xlsx - Excel
10:38:57:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:39:47:  KE06LOG.bat - 快捷方式 (2)
10:39:52:  新建 Microsoft Excel 工作表.xlsx - Excel
10:39:57:  RTT_SeggerLog_202007271038.log - DRB.tat* - TextAnalysisTool.NET
10:40:02:  RTT_SeggerLog_202007271039.log - DRB.tat* - TextAnalysisTool.NET
10:40:07:  Microsoft Excel
10:40:12:  新建 Microsoft Excel 工作表.xlsx - Excel
10:40:17:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:41:02:  锁屏状态
10:41:07:  新建 Microsoft Excel 工作表.xlsx - Excel
10:41:27:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:41:32:  KE06LOG.bat - 快捷方式 (2)
10:41:37:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:41:47:  RTT_SeggerLog_202007271041.log - DRB.tat* - TextAnalysisTool.NET
10:41:52:  新建 Microsoft Excel 工作表.xlsx - Excel
10:41:57:  文本分列向导 - 第 1 步，共 3 步
10:42:02:  新建 Microsoft Excel 工作表.xlsx - Excel
10:42:07:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:42:42:  Toolbox
10:42:47:  D:\00-06\DRB-PRESS\Project\CashBox_1T2.uvprojx - μVision
10:42:52:  KE06LOG.bat - 快捷方式 (2)
