13:53:12:  github 中的Your gists无法访问_SheTing'Blog-CSDN博客_git gists进不去 - Google Chrome
13:53:22:  锁屏状态
13:53:27:  本地磁盘 (C:)
13:53:32:  无标题 - 记事本
13:53:37:  hosts - 记事本
13:53:42:  锁屏状态
13:53:47:  Your Profile - Google Chrome
13:53:57:  锁屏状态
13:54:02:  新标签页 - Google Chrome
13:54:07:  GitHub - Google Chrome
13:54:17:  本地磁盘 (C:)
13:54:22:  GitHub - Google Chrome
13:54:37:  计算机
13:54:42:  Windows
13:54:47:  System32
13:54:52:  etc
13:54:57:  打开方式
13:55:02:  hosts - 记事本
13:55:07:  gist.github.com - Google Chrome
13:55:12:  百度一下，你就知道 - Google Chrome
