07:56:45:  刘茂林
10:42:47:  K64_0000_20210303095435.log - DRB.tat* - TextAnalysisTool.NET
10:42:57:  锁屏状态
10:43:02:  20180613 TCR内部指令手册_V001.xlsx - Excel
10:43:07:  锁屏状态
10:43:12:  K64_0000_20210303095435.log - DRB.tat* - TextAnalysisTool.NET
10:43:37:  Edit Filter
10:43:42:  K64_0000_20210303095435.log - DRB.tat* - TextAnalysisTool.NET
10:43:52:  计算器
10:43:57:  K64_0000_20210303095435.log - DRB.tat* - TextAnalysisTool.NET
10:44:07:  20180613 TCR内部指令手册_V001.xlsx - Excel
10:44:17:  K64_0000_20210303095435.log - DRB.tat* - TextAnalysisTool.NET
10:44:32:  D:\00-06\DRB\Applications\MotorCtrl\MotorCtrl.c (DRB) - Sublime Text (UNREGISTERED)
10:44:47:  D:\00-06\DRB\Applications\MotorCtrl\MotorCtrl.h (DRB) - Sublime Text (UNREGISTERED)
10:44:52:  D:\00-06\DRB\Applications\MotorCtrl\MotorCtrl.c (DRB) - Sublime Text (UNREGISTERED)
10:44:07:  20180613 TCR内部指令手册_V001.xlsx - Excel
10:44:17:  K64_0000_20210303095435.log - DRB.tat* - TextAnalysisTool.NET
10:44:32:  D:\00-06\DRB\Applications\MotorCtrl\MotorCtrl.c (DRB) - Sublime Text (UNREGISTERED)
10:44:47:  D:\00-06\DRB\Applications\MotorCtrl\MotorCtrl.h (DRB) - Sublime Text (UNREGISTERED)
10:44:52:  D:\00-06\DRB\Applications\MotorCtrl\MotorCtrl.c (DRB) - Sublime Text (UNREGISTERED)
10:45:07:  D:\00-06\DRB\Applications\Separate\Separate.c (DRB) - Sublime Text (UNREGISTERED)
10:45:17:  D:\00-06\DRB\Applications\MotorCtrl\MotorCtrl.c (DRB) - Sublime Text (UNREGISTERED)
10:45:27:  D:\00-06\DRB\Applications\Instruction\InstrReturn.c (DRB) - Sublime Text (UNREGISTERED)
10:46:02:  K64_0000_20210303095435.log - DRB.tat* - TextAnalysisTool.NET
10:46:42:  D:\00-06\DRB\Applications\Instruction\InstrReturn.c (DRB) - Sublime Text (UNREGISTERED)
10:46:57:  K64_0000_20210303095435.log - DRB.tat* - TextAnalysisTool.NET
10:47:32:  TCR调测工具 V3.36
10:47:47:  K64_0000_20210303095435.log - DRB.tat* - TextAnalysisTool.NET
10:48:12:  D:\00-06\DRB\Applications\Instruction\InstrReturn.c (DRB) - Sublime Text (UNREGISTERED)
10:48:17:  于斌1
10:48:37:  D:\00-06\DRB\Applications\Instruction\InstrReturn.c (DRB) - Sublime Text (UNREGISTERED)
10:48:42:  TCR调测工具 V3.36
10:48:47:  取款
10:48:52:  TCR调测工具 V3.36
10:49:22:  20210303
10:49:27:  C:\Users\zhangkaifa\Documents\Class-Log-C1.exe
10:49:32:  LOG
